                                   5.4->5.8  5.8->5.11  5.11->5.13  5.13->5.15  Total
trace_event Old                         465        500         525         523    465
            New                         500        525         523         525    525
            Common                      449        494         510         508    431
            Added                        51         31          13          17     94
            Removed                      16          6          15          15     34
            Changed                      36         14          10          17     47
            - Field added                 8         11           6           6     20
            - Field removed               8          3           1           2     11
            - Field type changed         25          0           5          10     21
            - Layout changed             31         14           9          14     43
raw_tp      Old                         473        508         533         531    473
            New                         508        533         531         533    533
            Common                      457        502         518         516    439
            Added                        51         31          13          17     94
            Removed                      16          6          15          15     34
            Changed                      13         10           3          10     21
            - Param added                 6          3           2           4     10
            - Param removed               6          8           2           0     15
            - Param type changed          5          0           1           6      1
            - Param reordered             2          7           1           3      9
            - Return type changed         0          0           0           0      0
lsm         Old                         189        198         199         203    189
            New                         198        199         203         203    203
            Common                      188        198         198         203    187
            Added                        10          1           5           0     16
            Removed                       1          0           1           0      2
            Changed                      18          5           4           5     23
            - Param added                13          4           4           0     20
            - Param removed              13          2           0           1     15
            - Param type changed          6          1           0           4      3
            - Param reordered             0          0           4           0      4
            - Return type changed         0          0           0           0      0
func        Old                       48181      49745       51749       52337  48181
            New                       49745      51749       52337       53335  53335
            Common                    46181      48669       50994       51214  44377
            Added                      3564       3080        1343        2121   8958
            Removed                    2000       1076         755        1123   3804
            Changed                     932       1176         549         640   2385
            - Param added               535        375         428         298   1194
            - Param removed             475        343         172         194    848
            - Param type changed        208        623          42         214    799
            - Param reordered           132        163         280         104    544
            - Return type changed       130         82          51         111    276
struct      Old                        8396       8722        9079        9216   8396
            New                        8722       9079        9216        9382   9382
            Common                     8193       8566        8983        9099   7956
            Added                       529        513         233         283   1426
            Removed                     203        156          96         117    440
            Changed                     973        771         476         656   1513
            - Field added               485        439         272         365    944
            - Field removed             315        232         154         163    533
            - Field type changed        219        164         111         140    400
            - Layout changed            897        720         438         605   1408
union       Old                         125        127         139         147    125
            New                         127        139         147         150    150
            Common                      122        116         138         147    111
            Added                         5         23           9           3     39
            Removed                       3         11           1           0     14
            Changed                       3          4           6           4     11
            - Field added                 3          4           5           1     10
            - Field removed               1          1           2           1      3
            - Field type changed          1          1           1           1      1
            - Layout changed              3          4           6           3     11
enum        Old                        1188       1237        1317        1361   1188
            New                        1237       1317        1361        1390   1390
            Common                     1164       1229        1308        1341   1142
            Added                        73         88          53          49    248
            Removed                      24          8           9          20     46
            Changed                     118        105          66          66    207
            - Elem added                 95         96          61          60    185
            - Elem removed               34         15           7          13     44
            - Value changed              69         55          40          35    121
